borrower_id,first_name,last_name,phone,state,city,date_of_birth
101,Mubtasim,Sharar,718-813-7195,IL,Champaign,1998-05-12
102,John,Doe,718-555-0102,MA,Boston,1979-10-11
103,Jane,Smith,718-555-0103,FL,Miami,1979-11-15
104,Alice,Johnson,718-555-0104,NY,New York,1979-12-20
105,Bob,Miller,,CA,San Francisco,1980-01-24
106,Charlie,Brown,718-555-0106,TX,Austin,1980-02-28
107,David,Davis,718-555-0107,PA,Scranton,1980-04-03
108,Eva,Garcia,718-555-0108,GA,Atlanta,1980-05-08
109,Frank,Wilson,718-555-0109,WA,Seattle,1980-06-12
110,Grace,Lee,,IL,Champaign,1980-07-17
111,Henry,Clark,718-555-0111,VA,Richmond,1980-08-21
112,Ivy,Lewis,718-555-0112,MA,Boston,1980-09-25
113,Jack,Allen,718-555-0113,FL,Miami,1980-10-30
114,Karen,Young,718-555-0114,NY,New York,1980-12-04
115,Leo,King,,CA,San Francisco,1981-01-08
116,Mia,Wright,718-555-0116,TX,Austin,1981-02-12
117,Nathan,Scott,718-555-0117,PA,Scranton,1981-03-19
118,Olivia,Green,718-555-0118,GA,Atlanta,1981-04-23
119,Peter,Baker,718-555-0119,WA,Seattle,1981-05-28
120,Ryan,Howard,,IL,Champaign,1981-07-02
121,Sophia,Hill,718-555-0121,VA,Richmond,1981-08-06
122,Thomas,Adams,718-555-0122,MA,Boston,1981-09-10
123,Ursula,Cruz,718-555-0123,FL,Miami,1981-10-15
124,Victor,Evans,718-555-0124,NY,New York,1981-11-19
125,Wendy,Ford,,CA,San Francisco,1981-12-24
126,Xavier,Gray,718-555-0126,TX,Austin,1982-01-28
127,Yolanda,Hall,718-555-0127,PA,Scranton,1982-03-04
128,Zachary,Irwin,718-555-0128,GA,Atlanta,1982-04-08
129,Amos,Jones,718-555-0129,WA,Seattle,1982-05-13
130,Beatrice,Keller,,IL,Champaign,1982-06-17
131,Clayton,Lopez,718-555-0131,VA,Richmond,1982-07-22
132,Diana,Mason,718-555-0132,MA,Boston,1982-08-26
133,Ethan,Nixon,718-555-0133,FL,Miami,1982-09-30
134,Fiona,Owen,718-555-0134,NY,New York,1982-11-04
135,George,Page,,CA,San Francisco,1982-12-09
136,Hannah,Quinn,718-555-0136,TX,Austin,1983-01-13
137,Ian,Ross,718-555-0137,PA,Scranton,1983-02-17
138,Julia,Stone,718-555-0138,GA,Atlanta,1983-03-24
139,Kevin,Thomas,718-555-0139,WA,Seattle,1983-04-28
140,Laura,Upton,,IL,Champaign,1983-06-02
141,Marcus,Vance,718-555-0141,VA,Richmond,1983-07-07
142,Nora,Welch,718-555-0142,MA,Boston,1983-08-11
143,Owen,Xavier,718-555-0143,FL,Miami,1983-09-15
144,Paige,Young,718-555-0144,NY,New York,1983-10-20
145,Quentin,Zane,,CA,San Francisco,1983-11-24
146,Rachel,Abbott,718-555-0146,TX,Austin,1983-12-29
147,Steven,Bell,718-555-0147,PA,Scranton,1984-02-02
148,Tina,Chief,718-555-0148,GA,Atlanta,1984-03-08
149,Umar,Duke,718-555-0149,WA,Seattle,1984-04-12
